"1";"Laptop";"High-end gaming laptop";"999.99";"laptop.jpg"
"2";"Smartphone";"Latest model smartphone";"699.99";"smartphone.jpg"
"3";"Headphones";"Noise-canceling headphones";"89.99";"headphones.jpg"
"4";"Smartwatch";"Fitness tracking smartwatch";"199.99";"smartwatch.jpg"
"5";"Gaming Mouse";"Ergonomic gaming mouse with customizable RGB lighting";"59.99";"gaming_mouse.jpg"
"6";"Mechanical Keyboard";"RGB mechanical keyboard with responsive keys";"129.99";"mechanical_keyboard.jpg"
"7";"Bluetooth Speaker";"Portable Bluetooth speaker with deep bass sound";"49.99";"bluetooth_speaker.jpg"
"8";"4K Monitor";"27-inch 4K monitor with ultra-thin bezels";"349.99";"4k_monitor.jpg"
"9";"Smart TV";"55-inch smart TV with 4K resolution and voice control";"499.99";"smart_tv.jpg"
"10";"Wireless Charger";"Fast wireless charger compatible with Qi-enabled devices";"29.99";"wireless_charger.jpg"
"11";"External Hard Drive";"1TB external hard drive for backup and storage";"79.99";"external_hard_drive.jpg"
"12";"Digital Camera";"Mirrorless digital camera with 24MP sensor and 4K video";"799.99";"digital_camera.jpg"
"13";"VR Headset";"Virtual reality headset for immersive gaming experiences";"249.99";"vr_headset.jpg"
"14";"Bluetooth Earbuds";"Compact wireless earbuds with noise isolation";"39.99";"bluetooth_earbuds.jpg"
